InputStoryid	InputSentence1	InputSentence2	InputSentence3	InputSentence4	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding
393f121a-4cd6-4781-95a3-76f88137c1aa	O Malamute sempre arrebatou a diapositiva durante o seu paseo.	O seu dono subiu con el á plataforma.	Tiña medo de deslizarme.	Continuaron facendo o mesmo todos os días durante os seus paseos.	O dono do Malamute nunca volveu a levar a diapositiva.	Co paso do tempo, o Malamute intentou desprazar a diapositiva.	2
0fcbf8d2-a63f-4d37-b304-003c10570638	Hoxe é a festa de aniversario de Tim.	Xa que se enfermou, non podía marchar.	Non obstante, a familia decidiu ir con el.	Tomamos unha torta e comida rápida.	Tim estaba moi feliz porque o recordaran.	Tim estaba molesto pola atención.	1
9669f392-85d9-45e8-8dc5-2b3d93b897ac	Frankie estaba namorado dun home reservado e afastado.	O home que quería non era moi amable con ela.	Era infiel con outras persoas da cidade.	Frankie deixouno.	Frankie foi a ver unha película.	Frankie atopou a outro home.	2
538e9d85-3ff1-483d-b8de-0c62348d225b	Nancy estaba sentado preto do edificio de ciencias.	Ian intentou achegarse a ela en rodajas.	Ela non se deu conta ata que mirou ao redor.	Ian lanzou un bolo directamente á cara.	Nancy colleu o bolo e comezou a comelo.	Nancy comezou a chorar e sentiuse humillada.	2
1295799e-8cd2-4da6-91cf-7515acbd14bf	George tivo unha práctica.	Realmente quería chegar a tempo completo na empresa.	George traballou duro e demostrou ser intelixente.	Había unha posición que George quería.	Corría con entusiasmo e finalmente foi contratado.	Entón decidiu volver a casa ese día e deixar a súa práctica.	1
04e42093-ebd7-4b56-990f-e34f397e13bb	Todo o que Kevin quería na vida era mercar unha casa do seu noivo.	Estivo case obsesionado e salvado ata o último céntimo.	Tiña varios traballos e vivía coma un picante.	Despois dun ano, Kevin tivo cartos suficientes para facer o pago inicial.	Kevin mercou unha casa.	Kevin usou o diñeiro que aforrou para mercar un coche deportivo.	1
78a60b56-2e3a-4fd6-a74f-b5b86f400540	Joe tiña un mostrador.	Nunca escoitou ao seu contable.	Ata que un día se deu conta de que non tiña cartos.	Joe entrou na oficina do seu contable.	Joe foi á praia.	Joe preguntoulle ao seu contable que pasara.	2
4a030972-fd37-43e8-b44f-6920cf9355b7	Sven era moi pobre.	O irmán de Sven díxolle que había moitos cartos no tren.	Entón, Sven e o seu irmán formaron unha banda.	Roubaron o tren!	Sven foi arrestado e encarcerado pouco despois.	Sven doou cartos á caridade.	1
3b754b95-8b0a-4d6c-87f5-158d1de303d9	Xoán foi diagnosticado de cancro nos seus ósos.	Estaba triste e sentíase abatido.	Non obstante, decidiu sufrir quimioterapia e loitar contra a súa enfermidade.	Loitou durante dous anos por derrotar o cancro.	Xoán acabou superando o cancro.	Xoán quería non recuperarse.	1
2f14cad7-8f3a-4a54-b7d8-206c515b780f	Todo o mundo dixo a Matt que comía moita carne vermella.	Ignorou todas as advertencias sobre a carne vermella e os problemas de saúde.	Un día, despois de comer unha suculenta hamburguesa, Matt tivo un ataque cardíaco.	Matt converteuse en vexetariano despois de saír do hospital.	Mantivo infartos durante o resto da súa vida.	Matt celebrou a súa saída do hospital cun gran bisté.	1
f9079515-f56d-4090-8b26-0e9d93dcb731	A miña filla trouxo ao seu can para xogar co meu.	O teu can é grande e cheo de enerxía.	O meu can é pequeno, tranquilo e vello.	Son completamente opostos.	Os gatos fixeron un desastre na casa!	De todos os xeitos, os dous cans gustáronlle xogar xuntos.	2
98181079-1081-48ba-bb83-031bb0046b92	Decidín alugar unha película porque algúns amigos viñeron onte á noite.	Despois de considerar as opcións, decidimos un terror.	Escollemos unha gran película e sentámonos con palomitas.	Foi realmente terrorífico!	Custoume moito durmir esa noite.	En xeral, non me gustou a noite.	1
c21420d2-5652-4f20-9e1a-9f86a551e4f2	Sandy é a nai de Louie.	Louie é un cadelo.	Unha boa familia adoptada Sandy.	Tamén decidiron adoptar a Louie.	Louie camiñou só na praia de Arenosa.	Os cans parecían felices de continuar xuntos.	2
3c771b38-ee3a-444c-9fc1-36748ff391bc	Lia trataba de perder peso.	Deixou de comer comida lixo e alimentos graxos.	Pero tamén tivo dificultades para perder peso.	Despois comezou a correr todos os días na cinta de correr.	Comezou a perder peso.	Gañou 15 quilos.	1
826d3ed1-77eb-401a-a8c3-2770c0523481	Limpei o meu anel de voda.	Primeiro empapalo no limpador.	Despois pasei o pincel para asegurarse de limpar todo.	Despois volvín a colocalo no limpador por un tempo.	Decidín tirar o anel.	Saíu brillante.	2
86b42126-6fee-4bb2-94f0-5c8cecd375aa	A Gina gustáballe ser voluntaria nunha vivenda para persoas sen fogar.	Levaba moitas horas á semana.	O persoal decidiu facer algo para agradecerche.	Todos colaboraron e déronlle un agasallo a Gina.	Gina deixou de ser voluntaria porque non foi valorada.	Gina moveuse tanto que chorou cando o deron.	2
ebd6c1df-2371-491f-b813-65451f92049f	Tom e Susan levan oito anos casados.	Durante unha semana, Susan tivo náuseas todas as mañás.	Esta mañá fíxose positiva unha proba de embarazo.	Susan planificou unha elegante cea con velas para darlle a Tom as boas novas.	Tom estaba contento pola chegada do seu fillo.	Nunca lle dixo a Tom.	1
741833b1-bdf1-4be4-ba01-2a8ca81ae7be	Gina estaba no centro do asento traseiro rodeado dos seus irmáns.	Saíron da cidade en moito tráfico.	Gina mirou pola fiestra.	No seguinte coche, un neno mostrou a boca chea de comida mastigada.	Gina mirou para el.	Gina sentíase repugnante.	2
f2bc4f2e-e7c2-4bea-8fa4-6dd9e0b37474	Greg xogaba só co balón.	Estaba aburrido.	Amaba aos seus amigos.	Os seus amigos viñeron a velo.	Greg aburriu máis que nunca.	Xogaron co balón o resto da tarde.	2
1a61f7f6-0945-4905-aef9-adb2808c22a0	Pamela mercou unha vella urna nunha venda de garaxes.	Ela cre que quedaría ben coa decoración da súa casa.	Cando chegou a casa, entendeu que as cinzas de alguén estaban alí.	Pamela devolveu a urna.	Pamela recibiu un reembolso completo e unha urna gratuíta polas molestias.	Pamela estaba satisfeita coa súa compra.	1
fe12762c-51e5-4bcc-8a08-667ce3304f69	Jane estaba entusiasmada de volver a casa cedo por primeira vez.	Traballou por limpeza de oficinas pola noite.	Avanzouse con respecto ao seu horario habitual.	Cando chegou á última oficina, notou un gran trastorno.	Jane estaba feliz de ter que limpar a oficina.	Jane sentiuse decepcionada por ter que limpar a oficina.	2
71286e60-5403-401d-98a0-9b0eff4cfa8a	Kate quixo iniciar unha nova campaña viral.	Kate quería atopar un xeito de que a xente común faga cousas amigables.	Kate decidiu crear un vídeo para a súa campaña.	Despois de publicar o seu vídeo, Kate obtivo unha resposta esmagadora.	Kate sentiuse decepcionada.	Kate quedou encantado!	2
bb63a874-2cf1-4ffc-8f75-b403c0b26be5	O meu marido e eu alugamos un coche para as vacacións.	O coche que nos deron era horrible.	O limpiaparabrisas tampouco funcionou e un faro.	Cheiraba fatal e estaba moi sucio.	Non volveremos a alugar con esa compañía de automóbiles.	Estamos ansiosos de alugar con esa mesma empresa de automóbiles.	1
432c8932-ec99-42bc-82ba-87d4f10ef17f	Fred recibe unha cafetera especial.	Finalmente, ábreo despois de deixalo na súa caixa durante unhas semanas.	Fred decide conseguir un capuchino.	Para a túa sorpresa, xa sabes igual de ben como os que compras fóra.	Frank aforrará uns 25 dólares á semana facendo o seu propio café.	Frank comezou a tomar té e doou a cafetera.	1
64e261dc-6458-4a23-a62d-8e5b5793997f	A miña nai sempre me dixo que me lavase os dentes.	Non me gustou prestar atención á miña nai.	Escollín non lavar os dentes.	Tiven que conseguilos.	Debería escoitar a miña nai.	Nunca estiven máis feliz coa miña saúde dental.	1
55a45ad5-0544-401d-b142-c3344975246e	Foi un verán moi quente e seco.	O pai de Xoán mercou unha bañeira de aves para axudalos a sobrevivir.	Poucos minutos despois de enchelo, un cardeal saltou dentro.	Durante o día, John dixo a 34 paxaros que o visitaban.	Xoán estaba feliz de que os paxaros gozaban do seu baño de aves.	A Xoán non lle gustan os paxaros.	1
befe024d-d480-42dd-9710-7eb1bdb7ff8a	O home de entrega deume un paquete.	Abrín a caixa.	Como non había nada dentro, tentei chamar ao entrega.	Non me escoitou e marchou.	Tiven que chamar para saber o que pasaba.	Estaba satisfeito co seu servizo.	1
2fcb96c1-3717-46ed-aa94-165151fee791	A miña familia está a compartir un bol con palomitas.	A nai está lendo un libro e come un de cada vez.	Papá e eu xogamos co iPad e comemos un puñado.	Xa xogamos a este xogo antes!	Papá e nos encanta as palomitas.	Papá e eu odiamos as palomitas.	1
aa94f624-fe3c-45c4-96b8-6cf486bd4302	Lou era dieta.	Ela estaba comendo moi pouco.	Pero seguía loitando por perder peso!	Despois engadiu un programa de exercicios.	Lou finalmente podería perder peso.	Lou decidiu que perdera o peso suficiente.	1
ecd16644-592d-470b-bbb1-389e82c32493	O pai de Gina abriu a mangueira de auga para ela.	Mirou como ela regaba o refresco no pórtico.	Levaba horas descansando alí.	Cando comezou a limpalo, xa era un desastre seco e pegajoso.	Gina lamiu o seu prato para limpalo.	Gina finalmente conseguiu limpar todo despois dunhas horas.	2
6f96532b-9bc0-44d0-84fd-6bb7b99d69be	Betsy estivo a piques de celebrar o seu décimo sexto aniversario.	Os seus pais sorprenderon cunha gran cea fóra e un pequeno agasallo.	Os seus pais déronlle un colo con monograma.	De volta á casa, Betsy perdeu o colar no coche.	Betsy sentiuse moi mal durante o resto da noite.	Betsy usou o colo cun monograma cando cumpriu os 14 anos.	1
da5ec41e-4fd5-4a1c-b2ad-67fd6c8b1165	O pastor de Joy pídelle que cante na igrexa.	A alegría practicou durante semanas.	A alegría está moi nerviosa por cantar.	Hoxe é a gran noite.	No momento de cantar, a alegría esvaece.	A alegría das malabares deleite a todos.	1
200f7c71-d985-46ca-ae40-4f2d1e34802e	Sara quería facer algo pola súa irmá con cancro.	A quimioterapia fixo que a súa irmá perdese todo o pelo.	Sara foi á perruquería e cortábase o pelo longo.	Despois encargouse de facer unha perruca co pelo.	Lanzou a perruca no lixo.	Deu a perruca á súa irmá.	2
217a2486-e392-414e-ba52-3bb13ef79793	Atopei unha serpe na parte inferior da xanela do soto.	Intentei golpeala cunha pala, pero ela chegou onde non podía vela.	Pensei que ía baixo o revestimento preto das bases.	Baixei ao soto e atopei detrás da parede.	Gustoume moito a miña festa cos amigos.	Podería coller a serpe e sacala da miña casa.	2
b9efb3c3-2239-4d6e-8a6d-2092fafe7012	Juanita vira unha película de medo.	Agora custoume durmir.	Juanita demostrou iluminar unha luz nocturna e música.	A habitación non parecía tan asustada.	Tivo o peor pesadelo da súa vida.	Quedou durmido profundamente.	2
8f38419d-c80d-40b0-8770-3a8a86e4a5ad	Juanita necesitaba gañar cartos extra.	Acordou os experimentos de psicoloxía esperados na universidade.	Jane buscou experimentos de pago e atopou turco mecánico.	Agora podía participar en experimentos de psicoloxía doméstica.	Jane decidiu non participar en experimentos de psicoloxía.	Finalmente podería gañar cartos extra.	2
f1076e8c-eb8f-4b71-84b4-3c433b7235a7	Foi como calquera outro venres para Jay.	Acaba de deixar o traballo e mercou o seu décimo de lotería semanal.	Despois de cear, esperou pacientemente os resultados da lotería.	Non o podía crer cando quedaban máis da metade dos seus números.	Finalmente, leron todos os seus números e Jay gañara.	Decidiu deixar de mirar e arroxou o seu décimo.	1
e8f3dea0-6304-43cd-9d76-5314cf2ab190	Larry estaba entusiasmado coa idea da cea nun filete.	Fixo unha reserva para 7.	Agardou ansiosamente todo o día polo tempo.	Cando chegou, o camareiro díxolle que non tiñan bisté.	Pola contra, tivo que pedir polo de grella.	Estaba moi contento cos pratos do menú.	1
8deede16-2f24-4579-970b-047ad9d23141	James acaba de comezar a traballar nunha empresa cunha mesa de ping -pong.	Sempre quixo xogar a Ping Pong cun compañeiro de traballo.	Un día, despois do traballo, o seu amigo desafía un xogo.	James xoga moi ben, pero finalmente perde o xogo.	James estaba preocupado porque gañara ao seu xefe en Ping Pong.	Entón, James mercou unha mesa de ping pong para practicar na casa.	2
b8b93e71-5a93-4092-931d-6271bbafa1f7	Joyce quería alugar unha película.	Non sabía que Netflix ofrecía a posibilidade de velos en liña.	Foi ao club de vídeo para buscar algo que ver.	Alguén lle falou da transmisión instantánea de Netflix.	Decidiu ver unha película en Netflix.	Pola contra, Joyce decidiu mercar unha galleta.	1
d16e2710-0a1c-4f4b-8be5-4bf9bd4dfa69	A Lester sempre lle gustou o debate académico.	Decide fundar un equipo de debate na súa universidade.	Atopa un profesor para aconsellar ao equipo e reclutar gradualmente a estudantes.	Pronto o equipo é o suficientemente grande como para discutir outra escola.	O equipo de Lester enfróntase ao equipo de baloncesto da outra escola.	A outra escola gaña ao equipo de Lester por unha gran marxe.	2
5cd09381-9d02-456a-bcd4-0d45f9ab0db3	Jessica quería un pônei polo seu aniversario máis que nada.	Nos días anteriores, pediulle a seu pai un pônei.	Dixo que o pensaría.	Deulle a Jessica unha caixa con forma de día especial.	Jessica sentiuse decepcionada porque realmente quería un poni.	A Jessica encantoulle ao cadelo que lle deu o seu pai.	1
21deb4c0-ef25-44fd-91f4-35b4bed8a75e	Sal saltaba á corda.	Despois tropezou e caeu.	O nocello foi retorcido.	Tivo que levar unha férula durante tres semanas.	O sal odiaba a cintura.	Sal estaba feliz de ter decidido saltar á corda.	1
0c183cc3-d281-442c-ad31-01f93cd9e281	Julie quere preparar comida para a próxima semana.	Decide ferver unha ducia de ovos.	Julie ferve auga e bota os ovos durante oito minutos cada un.	Finalmente os seus ovos están perfectamente cociñados.	Julie prepara o xantar para o seu fillo, que é alérxico aos ovos.	Julie chega a facer xantar con ovos cocidos.	2
fe5a613d-b6ec-4f31-8d2d-007018b092ec	Subimos ao coche para ir ao zoolóxico.	Non podía esperar a ver a cebra.	Camiñamos e vimos moitos animais.	Puiden ver o xogo de cebra.	Gustoume visitar o zoo.	Pero non me gustaron as cebras.	1
3df1bbda-e17f-4e8a-9008-69be6bff3b84	O alcume de José era foguete.	Puxeron ese alcume pola súa velocidade.	Un día correu no torneo de atletismo escolar.	Gañou o primeiro lugar como o fillo máis rápido da escola.	Todo o mundo felicitouno por gañar.	José estaba avergoñado por perder.	1
49cfda84-e8ff-486d-bf67-cab8f972a748	Bob tiña un cadelo.	Ao cachorro encantáballe xogar a pelota con Bob.	Por suposto, o cachorro converteuse nun can.	O can envellecido e xa non podía xogar a pelota.	Bob estaba moi contento con iso.	Este entristecido Bob.	2
fb466251-500e-428c-a120-a0c6887eb37f	Jennifer esqueceu pechar a porta principal cando chegou a casa.	Cando se deu conta, o seu gato desaparecera.	Visitou o barrio chamando ao gato.	Fixo folletos coa súa información de contacto.	Jennifer decidiu aforrar para mercar un coche e evitar así o autobús.	O gato de Jennifer chegou á casa ao día seguinte, con moita fame.	2
28531a23-ff54-4d75-a108-c910d32c6147	Os amigos de Peter convídano a unha pequena festa de Halloween.	Chega tarde e non tivo tempo para cear.	Un amigo ofrece un anaco de bolo de cabaza na festa.	O bolo é delicioso e leva crema montada ao lado.	Pedro enfadouse co seu amigo.	Peter contento de que o seu amigo lle deu comida.	2
23ab455c-ef3c-479f-90a5-4acd8e1ac3c9	Dan adora o deporte dos bolos.	O seu pai ensinoulle a xogar cando era pequeno.	Competían xuntos en torneos.	O seu pai xa morreu.	De todos os xeitos, a Dan nunca lle gustou xogar a bolos.	Agora xogan a bolos a miúdo para recordar ao seu pai.	2
ea4c827b-b5f2-44df-8d39-7373cb35f1ae	Billy levantouse todas as mañás e preparouse para ir á escola.	Primeira ducha para comezar a prepararse.	Entón Billy tivo que vestirse.	Despois de estar completamente vestido, almorzei.	Billy era moi metódico.	Billy estaba moi desorganizado.	1
a8869d8c-54a0-48db-b8ea-7fee53e32008	A Bob encantoulle ver películas.	Estaba desexando un fin de semana de tres días.	Fixo unha lista das súas películas favoritas e convidou a algúns amigos.	Pasou a fin de semana cos seus amigos vendo todas as súas películas favoritas	Bob deixou de falar con eses amigos.	Bob pasouno moi ben.	2
c2699d68-4f16-44d1-bff6-6a66ec266a46	Mike tivo un sábado gratuíto.	Foi a varios concesionarios de automóbiles.	Estaba interesado en ver posibles futuros coches para el.	Mike atopou un jeep que se namorou.	A Mike nunca lle gustou Jeep.	Mike mercou o Jeep.	2
b34dfd2a-4ae5-456c-85a9-7c4ee0b58248	Fred tivo onte o seu primeiro torneo de karate.	Estaba moi nervioso.	Cando chegou alí estaba tremendo.	Afortunadamente, acabou facéndoo ben.	Fred foi o último no seu torneo de karate.	Rematou en segundo lugar.	2
87ed8e67-02f7-46dc-b0e3-82319328557a	Gregory tomou unha clase de cerámica nunha escola nocturna próxima.	A escultura era fatal.	Gustaríalle facer macetas con rodas de cerámica.	Co paso do tempo, a metade das superiores chegaron a Pot que el.	Rompeu todas as macetas que fixo.	Estaba moi orgulloso das súas macetas.	2
cdc35d15-ea89-4410-bdf0-fadde0243985	A familia de Joe mudouse a outra casa.	Algúns nenos do bloque romperon as fiestras e entraron.	Gina e a súa irmá decidiron non facelo e foron a casa.	A irmá de Gina cruzou o patio e pisou o vaso.	Joe decidiu mercar xeados na tenda.	A irmá de Gina tivo que ir ao hospital para poñer puntos.	2
da033578-7efb-43b4-875f-adeefea0fac0	Xogo moito á lotería e sempre perdo.	Só este ano xoguei máis de cen veces.	Fixen o cálculo para ver cantos cartos tería se nunca xogase.	Resulta que tería miles máis no meu peto.	Agora xogo dobre.	Xa non xogo á lotería.	2
3b0fdd12-aa51-45ec-9808-79b308ffe722	Un home entrou na biblioteca e tomou algúns libros aleatorios.	Agochounos noutras partes da biblioteca.	O bibliotecario detívoo e preguntoulle que facía.	O home dixo que intentou evitar que a xente le.	O bibliotecario lanzou ao home.	O bibliotecario grazas ao home.	1
fedc6a43-057c-4684-ad11-200180ade0d3	Quinn pasou moito tempo coidando o seu céspede.	El cría que unha herba moi coidada deu unha boa imaxe á casa.	Quinn pensou que era a única primeira impresión que importaba.	A súa rexión sufriu unha seca e houbo restricións de rego.	Buscou métodos para o coidado da herba que consumía menos auga.	O xardín de Quinn floreceu baixo fortes choivas.	1
60e826cc-3f0a-479e-a79e-319935d39b58	A miña familia foi a cear o xoves.	Escollemos unha pizzería local.	A comida era deliciosa.	O persoal era amable e rápido.	A pizza foi feita por primeira vez en Italia para representar as cores da bandeira.	Volveremos alí a miúdo.	2
471e2283-f8c4-4e45-9c87-40c815fa73ac	O can vello era peor do habitual.	Deixou de comer e chorou cando se moveu.	Cheryl evitou organizar a cita co veterinario.	Ela dixo ao seu marido que pediría a cita mañá.	Cheryl gañou máis cartos gañando trucos que no seu traballo completo.	Cheryl quería o can e rezou para mellorar.	2
463dd0de-6558-4e40-b5a2-b3a202f6856b	Bob quería facerse unha tatuaxe.	Quería conseguir un de lobo.	A súa moza debuxou un fermoso deseño.	Bob fixo a tatuaxe ao día seguinte.	Bob odia as tatuaxes.	A moza de Bob gustou moito a súa nova tatuaxe.	2
f03ef931-1c90-4b73-8e6b-f3cb9aa702fb	Dan estaba seguro de que superou a relación coa súa ex -moza.	Ata que un amigo común publicou unha foto dela nun restaurante.	A foto fíxoos recordar os bos momentos.	Sentíase arrepentido.	Dan decidiu chamar á súa ex -moza.	Dan xa non se sentía só.	1
0b9c5ee5-9ce1-4195-8ed6-01956f15d659	Jane e Shawn eran moi amigos.	Fixeron todo xuntos.	Casáronse cando eran maiores.	Jane morreu de cancro.	Shawn botaba de menos a Jane todos os días.	Shawn alegrouse da morte de Jane.	1
f6292a35-f8e1-4b62-9592-a1f603bec68d	María, a amiga de Gina, non compartiu.	Ambos tiveron que usar os libros da biblioteca escolar en Delfines.	Pero María gañara a Gina e todos os levaron.	E agora negouse a compartir os libros.	María sempre intentaba facer feliz a Gina.	A nai de Gina tivo que chamar á nai de María para queixarse.	2
056235a2-84cd-4c99-9652-1e0773797143	Bob quedou moi ferido polo estómago despois da copiosa comida.	Un amigo co que chamara para dicir que tamén se sentía mal.	Decidiron que o marisco que comeron era malo.	Un pouco despois, Bob finalmente vomitou o contido do seu estómago.	Bob terá coidado de non comer de novo nese restaurante.	A decisión de Bob de malversar ao seu empresario foi un erro.	1
a1ecda1c-7f69-4721-89ae-fb2e6ca9cb2f	Comecei a xogar ao xadrez co meu amigo Tim no 2000.	Merquei un torneo e un equipo de reloxo.	Fixemos plans para ir a un torneo, pero Tim volveuse mal.	Fun e gañei cinco partidos.	Tim estaba moi feliz.	Tim estaba feliz por min.	2
31e16ce0-894b-40c1-a142-261ca16baddf	Onte Kim conseguiu un novo americano.	Pola súa alegría, cando todos viñeron á escola felicitouna.	As semanas seguintes, Kim viu como todos usaban o americano.	Sentíase feliz de comezar unha nova tendencia.	Kim estaba feliz de que a xente estivese motivada a imitala.	Kim preguntoulles aos seus amigos se querían ir a Starbucks.	1
ace23022-c211-41d3-9ec3-c781dff7330a	A Jay non lle importou levar aos seus amigos en coche.	Sempre se asegurou de que levaban o cinto.	Onte tivo un accidente.	Todo o mundo estaba a salvo a pesar de estar ferido.	A compañía de seguros determinou que Jay non tiña a culpa.	Jay perdeu o traballo como piloto da compañía aérea.	1
d87b0656-9f88-4247-ad95-644c64d38754	Ben perdeu o traballo.	Foi devastado desde que perdeu o traballo.	Meses dedicados e non puido atopar un traballo no seu campo.	Entón comezou a temer que nunca atoparía un traballo.	Ben decidiu retirarse.	Pero entón atopou un traballo.	2
95ab463d-7d6d-4dff-9454-69d5abadfbf0	A reclusión finalmente remata.	O profesor confiscou o teléfono de Gina.	Foi á súa oficina para pedirlle que o devolva.	Resultou que o teléfono tiña que recollelo un pai.	O profesor devolveu o teléfono a Gina.	O pai de Gina aceptou recoller o teléfono por ela.	2
dd1cbc2d-75fc-4fe7-92b8-cd986d80140a	Teño un traballo como Papá Noel nun centro comercial o pasado decembro.	Foron moitas horas.	Estaba mal pagado.	Pero interactuar cos nenos parecíame incrible.	Descubrín que facer Papá Noel non merecía o meu tempo libre.	Descubrín que facer noel Pope era o meu segundo mellor traballo.	2
474c61d2-2b1f-4d12-9274-a85cea5bfa2b	O meu amigo e eu fixemos unha pequena competición o outro día.	Intentamos ver quen podería soprar o maior globo de goma.	Participamos en quendas e tomamos medidas.	Cando facía o maior, exploteino.	Enfadouse un pouco, pero só ría.	Nunca entendeu o mellor xeito de fritir un ovo.	1
430d9fb6-7fb0-4cde-9ae5-c81ca4347109	A Candice encantoulle a cocción.	Un día Candice entendeu que a súa nai estaba triste.	Candice descubriu que a súa nai necesitaba cartos.	Decidiu facer unha venda de bolo.	Candice deu o diñeiro da súa nai.	Candice mercou unha nova carteira.	1
33675fd9-8bb1-4739-b677-9939a01c3b43	Fomos de excursión hai unhas semanas.	Despois de decidir ir, decidimos un bosque non moi lonxe de alí.	Unha vez que chegamos, o tempo era perfecto!	Despois de comezar a estrada, vimos unha serpe!	Estamos gratamente sorprendidos!	Temos medo!	2
0ea89e83-ca2d-48da-abca-245027c6812c	Os gatos de Matty non deixaron de rabuñar.	Ela non sabía que facer.	Ao final, descubriu que tiñan pulgas.	Deulles medicación por drogas.	Despois diso estaban totalmente curados.	Levounos ao veterinario para ver por que rabuñaron.	1
313197bd-b309-4eef-9f8c-b0ee6e14fce8	Os votos foron para as eleccións presidenciais.	A cara estaba nerviosa porque quería gañar.	Cando o gañador foi extraído, Cara foi derrotada.	Perdeu contra o seu rival.	A cara deu unha festa para celebrala.	A cara sentábase soa e chorou.	2
8d81ed6f-9c29-468f-85f9-3ffe7a4d58b3	Ellie quería un peixe.	Era e mercou un gran acuario.	Despois encheuno de auga doce e grava.	Finalmente, engadiu o seu peixe.	Ellie comeu o peixe.	Ellie pensou que era xenial.	2
411710bb-0274-48b0-8511-62577936f12c	Rase estaba no planetario.	Encantáronlle mostras e exposicións.	Entón viu un cartel de axuda.	Rase solicitou o traballo e deulle.	Rase pediu un xuízo xusto.	Rase traballou no planetario durante anos.	2
d6638b4d-72ff-4d36-b37a-065aaf871591	Juan quería unha nova guitarra máis que outra cousa.	Decidiu aforrar para mercar un.	Traballou todo o verán, aforrando cada céntimo.	Finalmente, a guitarra podería mercarse.	Juan sempre foi impaciente.	Juan era paciente e traballador.	2
e32919fb-7b84-424c-8825-a9a5ca420958	Hoxe é o primeiro día de Jim como oficial de policía.	Estaba emocionado de coñecer ao seu compañeiro Tim.	Cando deron a volta, detiveron un vehículo que non cedera o paso.	Os dous homes instruíron ao condutor sobre unha condución segura.	Jim e Tim fixéronse bos amigos.	Entón Jim disparou a Tim.	1
254a99c8-5a3c-4cf7-8bf9-e99f8b613cc9	Quería aprender a facer pepitas de chocolate.	Fun a Internet e mirei o tema.	Explorei todos os resultados e finalmente atopei o que quería.	Lin todo o artigo.	Fixen as galletas.	Fixen carne de porco asada.	1
c44e2be7-e117-4b01-a993-075b19443abe	Acaba de abrir un novo Chick-fil-A e non puido esperar a probalo.	A fila pasou pola porta.	Agardei media hora só para preguntar.	Pedín un bocadillo de polo picante.	Nese momento decidín que esta era a miña nova comida favorita.	Como vexetariano, rexeitei comer bocadillo de polo.	1
25561b53-b8fc-44ef-9d22-384325cdcf66	Sall mercou un billete de lotería.	O barco alcanzou un millón de euros.	Tiven todos os números agás 1.	Sal gañou cinco mil euros.	Sal estaba entusiasmado de ser un millonario instantáneo.	Sal decidiu seguir comprando billetes de lotería cada semana.	2
823343e6-6721-4692-ab53-1f2e28cf9d4c	Harry facía os deberes pero tivo problemas cos compañeiros.	Decidiu buscar axuda en YouTube.	Despois de facer algunhas leccións, viu un vídeo interesante.	O vídeo foi emocionante polo que decidiu ver a outro.	Harry decidiu que os compañeiros serían un bo tema para un videoxogo.	Harry finalmente superou a distracción e volveu aos compañeiros.	2
2a3aa25e-bd49-4e8a-bb99-84543964b257	O xogo Dragons and Dungeons estaba en marcha.	José apareceu cunha aparición de elfo.	María trouxo unha espada de escoba.	Laney convenceu a todos de que o seu club era realmente un bastón.	Todos se divertiron xogando como os seus respectivos personaxes.	Todos tiñan pouca imaxinación.	1
f1034f3f-94a1-4070-9a70-349ddfe4d123	Bobby, de seis anos -Do, quería desesperadamente un gato.	Os seus pais non dixeron que non, pero estaban entusiasmados coa idea.	Unha mañá, un gato simpático apareceu na súa porta.	Bobby quedou moi feliz cando a súa nai dixo que podería entrar.	Bobby volveuse tolo cando a súa nai dixo que o gato podería quedar.	Despois dese día, Bobby parou como gatos.	1
0f1277f9-f7eb-4133-a067-8012ec4ce4c4	Juan deu un grolo e tragou un cubo de xeo.	Cando o cubo de xeo me pegou na gorxa, Juan Panic entrou.	Quentou algo de auga para derreter o xeo.	Tragouno rapidamente e o xeo derreteuse.	Juan sentiuse aliviado.	A Juan non lle gustou que o xeo se derrete.	1
3dcdf416-5329-4190-b492-4b83c3c17d5b	Sean e Sara viaxaban para ver un concerto.	Tiveron que coller o tren a Portland.	Unha vez alí, rexistráronse nun hotel.	Camiñaron ata o recinto do concerto.	Por desgraza, o concerto foi cancelado por enfermidade.	Pasárono moi ben no museo.	1
ff6a9be8-35fd-4371-9337-0a487aa6bcbd	Rex perdeu os días do seu instituto como ximnasta.	Agora tiña medo de perder o toque atlético para sempre.	Non obstante, un amigo animouno a probar un lado de Somersault na praia.	Rex fixo un incrible Somersault lateral no seu primeiro intento.	Sentíase aliviado.	Rex fixo o seu primeiro Somersault lateral ese día.	1
93b3adbb-d8fd-4fec-90a1-2f4818cf878c	Hal e Judy mudáronse á súa nova casa co seu fillo.	Pasaron o día empaquetando todo.	Cando estaban listos, Judy e o fillo viaxaron á súa nova casa.	Hal seguiunos nunha moción en movemento.	Judy e o fillo chegaron pouco antes de Hal.	Hal deu a volta e volveu á súa antiga casa para vivir só.	1
4b8f1d1f-9b00-4af4-bd25-ed71e9536b55	Joe era o amigo de Tim.	Sempre xogaron xuntos no recreo.	Un día Joe dixo que ía moverse.	Tim quedou triste.	Joe e Tim permaneceron amigos en liña.	Joe entón Punch Tim.	1
